Site,t_0,alpha,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17,wk18,wk19,wk20,wk21,wk22,wk23,wk24,wk25,wk26,wk27,wk28,wk29,wk30,wk31,wk32,wk33,wk34,wk35,wk36,wk37,wk38,wk39,wk40,wk41,wk42,wk43,wk44,wk45,wk46,wk47,wk48,wk49,wk50,wk51,wk52
Ceiba,12/16/2017 0:00,0.9,0.903846154,0.769230769,0.903846154,0.884615385,0.865384615,0.942307692,0.846153846,0.884615385,0.865384615,0.826923077,0.769230769,0.884615385,0.75,0.730769231,0.769230769,0.884615385,0.923076923,0.807692308,0.75,0.75,0.75,0.826923077,0.807692308,0.75,0.673076923,0.788461538,0.788461538,0.692307692,0.692307692,0.769230769,0.807692308,0.807692308,0.865384615,0.923076923,0.923076923,0.903846154,0.826923077,0.846153846,0.884615385,0.788461538,0.903846154,0.884615385,0.942307692,0.903846154,0.884615385,0.865384615,0.884615385,0.923076923,0.903846154,0.961538462,0.903846154,0.903846154
Ceiba,12/16/2017 0:00,1,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462
Ceiba,12/23/2017 0:00,0,0.096153846,0.134615385,0.057692308,0.019230769,0.057692308,0.134615385,0.153846154,0.115384615,0.134615385,0.115384615,0.115384615,0.057692308,0.057692308,0.076923077,0.115384615,0.115384615,0.115384615,0.038461538,0.057692308,0.096153846,0.057692308,0.057692308,0.096153846,0.057692308,0.096153846,0.019230769,0.057692308,0.019230769,0.076923077,0.057692308,0.076923077,0.057692308,0.076923077,0.096153846,0.096153846,0.076923077,0.076923077,0.057692308,0.038461538,0.115384615,0.115384615,0.096153846,0.038461538,0.076923077,0.096153846,0.211538462,0.096153846,0.076923077,0.153846154,0.096153846,0.115384615,0.038461538
Ceiba,12/23/2017 0:00,0.1,0.192307692,0.25,0.173076923,0.115384615,0.173076923,0.25,0.230769231,0.230769231,0.269230769,0.115384615,0.153846154,0.057692308,0.057692308,0.076923077,0.115384615,0.230769231,0.211538462,0.076923077,0.134615385,0.134615385,0.057692308,0.153846154,0.192307692,0.096153846,0.153846154,0.038461538,0.115384615,0.057692308,0.153846154,0.115384615,0.192307692,0.057692308,0.076923077,0.230769231,0.134615385,0.192307692,0.134615385,0.153846154,0.096153846,0.269230769,0.153846154,0.230769231,0.115384615,0.115384615,0.173076923,0.25,0.25,0.153846154,0.25,0.211538462,0.115384615,0.230769231
Ceiba,12/23/2017 0:00,0.2,0.307692308,0.307692308,0.173076923,0.269230769,0.307692308,0.326923077,0.230769231,0.307692308,0.269230769,0.211538462,0.153846154,0.192307692,0.230769231,0.326923077,0.288461538,0.230769231,0.211538462,0.076923077,0.25,0.134615385,0.134615385,0.326923077,0.230769231,0.153846154,0.192307692,0.192307692,0.192307692,0.076923077,0.25,0.153846154,0.192307692,0.211538462,0.269230769,0.384615385,0.192307692,0.288461538,0.192307692,0.211538462,0.173076923,0.269230769,0.192307692,0.346153846,0.326923077,0.192307692,0.326923077,0.288461538,0.307692308,0.269230769,0.326923077,0.269230769,0.269230769,0.346153846
Ceiba,12/23/2017 0:00,0.3,0.403846154,0.384615385,0.346153846,0.269230769,0.403846154,0.326923077,0.442307692,0.307692308,0.442307692,0.211538462,0.346153846,0.192307692,0.230769231,0.326923077,0.288461538,0.596153846,0.403846154,0.211538462,0.25,0.25,0.134615385,0.346153846,0.326923077,0.153846154,0.230769231,0.192307692,0.269230769,0.076923077,0.288461538,0.230769231,0.326923077,0.211538462,0.269230769,0.519230769,0.288461538,0.365384615,0.307692308,0.326923077,0.211538462,0.346153846,0.326923077,0.403846154,0.384615385,0.288461538,0.461538462,0.365384615,0.480769231,0.269230769,0.423076923,0.403846154,0.269230769,0.442307692
Ceiba,12/23/2017 0:00,0.4,0.423076923,0.461538462,0.346153846,0.442307692,0.403846154,0.423076923,0.442307692,0.442307692,0.442307692,0.307692308,0.346153846,0.288461538,0.346153846,0.384615385,0.442307692,0.596153846,0.403846154,0.211538462,0.365384615,0.25,0.365384615,0.384615385,0.365384615,0.269230769,0.288461538,0.307692308,0.269230769,0.115384615,0.346153846,0.326923077,0.365384615,0.230769231,0.346153846,0.576923077,0.365384615,0.423076923,0.403846154,0.403846154,0.346153846,0.384615385,0.384615385,0.519230769,0.480769231,0.365384615,0.538461538,0.461538462,0.634615385,0.384615385,0.519230769,0.480769231,0.423076923,0.442307692
Ceiba,12/23/2017 0:00,0.5,0.480769231,0.538461538,0.596153846,0.538461538,0.596153846,0.423076923,0.596153846,0.5,0.557692308,0.307692308,0.346153846,0.326923077,0.365384615,0.461538462,0.557692308,0.596153846,0.557692308,0.365384615,0.365384615,0.384615385,0.365384615,0.403846154,0.442307692,0.269230769,0.346153846,0.346153846,0.346153846,0.153846154,0.384615385,0.326923077,0.442307692,0.307692308,0.423076923,0.576923077,0.5,0.480769231,0.557692308,0.538461538,0.365384615,0.480769231,0.461538462,0.519230769,0.615384615,0.461538462,0.596153846,0.480769231,0.730769231,0.461538462,0.653846154,0.519230769,0.423076923,0.615384615
Ceiba,12/23/2017 0:00,0.6,0.538461538,0.576923077,0.634615385,0.576923077,0.673076923,0.557692308,0.673076923,0.634615385,0.576923077,0.461538462,0.538461538,0.403846154,0.403846154,0.461538462,0.557692308,0.807692308,0.557692308,0.365384615,0.461538462,0.403846154,0.5,0.576923077,0.442307692,0.423076923,0.365384615,0.442307692,0.346153846,0.288461538,0.423076923,0.442307692,0.673076923,0.423076923,0.480769231,0.653846154,0.5,0.673076923,0.653846154,0.538461538,0.557692308,0.634615385,0.538461538,0.634615385,0.634615385,0.461538462,0.692307692,0.653846154,0.807692308,0.596153846,0.769230769,0.576923077,0.596153846,0.615384615
Ceiba,12/23/2017 0:00,0.7,0.576923077,0.711538462,0.730769231,0.634615385,0.807692308,0.634615385,0.711538462,0.75,0.692307692,0.480769231,0.711538462,0.423076923,0.403846154,0.634615385,0.711538462,0.826923077,0.673076923,0.596153846,0.461538462,0.557692308,0.5,0.596153846,0.5,0.557692308,0.576923077,0.538461538,0.442307692,0.480769231,0.538461538,0.557692308,0.692307692,0.634615385,0.653846154,0.653846154,0.653846154,0.692307692,0.711538462,0.673076923,0.576923077,0.653846154,0.576923077,0.75,0.807692308,0.634615385,0.692307692,0.75,0.846153846,0.730769231,0.769230769,0.730769231,0.653846154,0.730769231
Ceiba,12/23/2017 0:00,0.8,0.730769231,0.807692308,0.807692308,0.788461538,0.846153846,0.730769231,0.75,0.807692308,0.769230769,0.596153846,0.730769231,0.596153846,0.557692308,0.692307692,0.788461538,0.884615385,0.673076923,0.596153846,0.596153846,0.673076923,0.692307692,0.730769231,0.673076923,0.557692308,0.711538462,0.557692308,0.615384615,0.557692308,0.538461538,0.692307692,0.807692308,0.75,0.788461538,0.807692308,0.769230769,0.826923077,0.75,0.75,0.673076923,0.75,0.692307692,0.846153846,0.846153846,0.769230769,0.730769231,0.788461538,0.903846154,0.846153846,0.884615385,0.846153846,0.788461538,0.807692308
Ceiba,12/23/2017 0:00,0.9,0.769230769,0.903846154,0.884615385,0.865384615,0.942307692,0.846153846,0.826923077,0.865384615,0.826923077,0.711538462,0.884615385,0.75,0.730769231,0.769230769,0.884615385,0.923076923,0.807692308,0.75,0.75,0.75,0.826923077,0.807692308,0.75,0.673076923,0.788461538,0.788461538,0.692307692,0.692307692,0.769230769,0.807692308,0.807692308,0.865384615,0.923076923,0.923076923,0.903846154,0.826923077,0.826923077,0.884615385,0.788461538,0.903846154,0.884615385,0.942307692,0.903846154,0.884615385,0.865384615,0.884615385,0.923076923,0.903846154,0.961538462,0.903846154,0.903846154,0.884615385
Ceiba,12/23/2017 0:00,1,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462
Ceiba,12/30/2017 0:00,0,0.134615385,0.057692308,0.019230769,0.057692308,0.134615385,0.153846154,0.115384615,0.134615385,0.115384615,0.115384615,0.057692308,0.057692308,0.076923077,0.115384615,0.115384615,0.115384615,0.038461538,0.057692308,0.096153846,0.057692308,0.057692308,0.096153846,0.057692308,0.096153846,0.019230769,0.057692308,0.019230769,0.076923077,0.057692308,0.076923077,0.057692308,0.076923077,0.096153846,0.096153846,0.076923077,0.076923077,0.057692308,0.038461538,0.115384615,0.115384615,0.096153846,0.038461538,0.076923077,0.096153846,0.211538462,0.096153846,0.076923077,0.153846154,0.096153846,0.115384615,0.038461538,0.096153846
Ceiba,12/30/2017 0:00,0.1,0.25,0.173076923,0.115384615,0.173076923,0.25,0.230769231,0.230769231,0.269230769,0.115384615,0.153846154,0.057692308,0.057692308,0.076923077,0.115384615,0.230769231,0.211538462,0.076923077,0.134615385,0.134615385,0.115384615,0.153846154,0.192307692,0.096153846,0.153846154,0.038461538,0.115384615,0.057692308,0.153846154,0.115384615,0.192307692,0.057692308,0.076923077,0.230769231,0.134615385,0.192307692,0.134615385,0.153846154,0.096153846,0.269230769,0.153846154,0.230769231,0.115384615,0.115384615,0.173076923,0.25,0.25,0.153846154,0.25,0.211538462,0.115384615,0.230769231,0.115384615
Ceiba,12/30/2017 0:00,0.2,0.307692308,0.173076923,0.269230769,0.307692308,0.326923077,0.230769231,0.307692308,0.269230769,0.211538462,0.153846154,0.192307692,0.230769231,0.326923077,0.288461538,0.230769231,0.211538462,0.076923077,0.25,0.134615385,0.134615385,0.326923077,0.230769231,0.153846154,0.192307692,0.192307692,0.192307692,0.076923077,0.25,0.153846154,0.192307692,0.211538462,0.269230769,0.384615385,0.192307692,0.288461538,0.192307692,0.211538462,0.173076923,0.269230769,0.192307692,0.346153846,0.326923077,0.192307692,0.326923077,0.288461538,0.307692308,0.269230769,0.326923077,0.269230769,0.269230769,0.346153846,0.115384615
Ceiba,12/30/2017 0:00,0.3,0.384615385,0.346153846,0.269230769,0.403846154,0.326923077,0.442307692,0.307692308,0.442307692,0.211538462,0.346153846,0.192307692,0.230769231,0.326923077,0.288461538,0.596153846,0.403846154,0.211538462,0.25,0.25,0.134615385,0.346153846,0.326923077,0.153846154,0.230769231,0.192307692,0.269230769,0.076923077,0.288461538,0.230769231,0.326923077,0.211538462,0.269230769,0.519230769,0.288461538,0.365384615,0.307692308,0.326923077,0.211538462,0.346153846,0.326923077,0.403846154,0.384615385,0.288461538,0.461538462,0.365384615,0.480769231,0.269230769,0.423076923,0.403846154,0.269230769,0.442307692,0.442307692
Ceiba,12/30/2017 0:00,0.4,0.461538462,0.346153846,0.442307692,0.403846154,0.423076923,0.442307692,0.442307692,0.442307692,0.307692308,0.346153846,0.288461538,0.346153846,0.384615385,0.442307692,0.596153846,0.403846154,0.211538462,0.365384615,0.25,0.365384615,0.384615385,0.365384615,0.269230769,0.288461538,0.307692308,0.269230769,0.115384615,0.346153846,0.326923077,0.365384615,0.230769231,0.346153846,0.576923077,0.365384615,0.423076923,0.403846154,0.403846154,0.346153846,0.384615385,0.384615385,0.519230769,0.480769231,0.365384615,0.538461538,0.461538462,0.634615385,0.384615385,0.519230769,0.480769231,0.423076923,0.442307692,0.442307692
Ceiba,12/30/2017 0:00,0.5,0.538461538,0.596153846,0.538461538,0.596153846,0.423076923,0.653846154,0.5,0.557692308,0.307692308,0.346153846,0.326923077,0.365384615,0.461538462,0.557692308,0.596153846,0.557692308,0.365384615,0.365384615,0.384615385,0.365384615,0.403846154,0.442307692,0.269230769,0.346153846,0.346153846,0.346153846,0.153846154,0.384615385,0.326923077,0.442307692,0.307692308,0.423076923,0.576923077,0.5,0.480769231,0.557692308,0.538461538,0.365384615,0.480769231,0.461538462,0.519230769,0.615384615,0.461538462,0.596153846,0.480769231,0.730769231,0.461538462,0.653846154,0.519230769,0.423076923,0.615384615,0.576923077
Ceiba,12/30/2017 0:00,0.6,0.576923077,0.634615385,0.576923077,0.673076923,0.557692308,0.673076923,0.634615385,0.576923077,0.461538462,0.538461538,0.403846154,0.403846154,0.461538462,0.557692308,0.807692308,0.557692308,0.365384615,0.461538462,0.403846154,0.5,0.576923077,0.442307692,0.423076923,0.365384615,0.442307692,0.346153846,0.288461538,0.423076923,0.442307692,0.673076923,0.423076923,0.480769231,0.653846154,0.5,0.673076923,0.653846154,0.538461538,0.557692308,0.634615385,0.538461538,0.634615385,0.634615385,0.461538462,0.692307692,0.653846154,0.807692308,0.596153846,0.769230769,0.576923077,0.596153846,0.615384615,0.576923077
Ceiba,12/30/2017 0:00,0.7,0.711538462,0.730769231,0.634615385,0.807692308,0.634615385,0.711538462,0.75,0.692307692,0.480769231,0.711538462,0.423076923,0.403846154,0.634615385,0.711538462,0.826923077,0.673076923,0.596153846,0.461538462,0.557692308,0.5,0.596153846,0.5,0.557692308,0.576923077,0.538461538,0.442307692,0.480769231,0.538461538,0.557692308,0.692307692,0.634615385,0.653846154,0.653846154,0.653846154,0.692307692,0.711538462,0.673076923,0.576923077,0.653846154,0.576923077,0.75,0.807692308,0.634615385,0.692307692,0.75,0.846153846,0.730769231,0.769230769,0.730769231,0.653846154,0.730769231,0.692307692
Ceiba,12/30/2017 0:00,0.8,0.807692308,0.807692308,0.788461538,0.846153846,0.730769231,0.75,0.807692308,0.769230769,0.596153846,0.730769231,0.596153846,0.557692308,0.692307692,0.788461538,0.884615385,0.673076923,0.596153846,0.596153846,0.673076923,0.692307692,0.730769231,0.673076923,0.557692308,0.711538462,0.557692308,0.615384615,0.557692308,0.538461538,0.692307692,0.807692308,0.75,0.788461538,0.730769231,0.769230769,0.807692308,0.75,0.75,0.673076923,0.75,0.692307692,0.846153846,0.846153846,0.769230769,0.730769231,0.788461538,0.903846154,0.846153846,0.884615385,0.846153846,0.788461538,0.807692308,0.75
Ceiba,12/30/2017 0:00,0.9,0.903846154,0.884615385,0.865384615,0.942307692,0.846153846,0.826923077,0.865384615,0.826923077,0.711538462,0.884615385,0.75,0.730769231,0.769230769,0.884615385,0.923076923,0.807692308,0.75,0.75,0.75,0.826923077,0.807692308,0.75,0.673076923,0.788461538,0.788461538,0.692307692,0.692307692,0.769230769,0.807692308,0.807692308,0.865384615,0.923076923,0.923076923,0.903846154,0.826923077,0.903846154,0.884615385,0.788461538,0.903846154,0.884615385,0.942307692,0.903846154,0.884615385,0.865384615,0.884615385,0.923076923,0.903846154,0.961538462,0.903846154,0.903846154,0.884615385,0.807692308
Ceiba,12/30/2017 0:00,1,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462
Ceiba,1/6/2018 0:00,0,0.057692308,0.019230769,0.057692308,0.134615385,0.153846154,0.115384615,0.134615385,0.115384615,0.115384615,0.057692308,0.057692308,0.076923077,0.115384615,0.115384615,0.115384615,0.038461538,0.057692308,0.096153846,0.057692308,0.057692308,0.096153846,0.057692308,0.096153846,0.019230769,0.057692308,0.019230769,0.076923077,0.057692308,0.076923077,0.057692308,0.076923077,0.096153846,0.096153846,0.076923077,0.076923077,0.057692308,0.038461538,0.115384615,0.115384615,0.096153846,0.038461538,0.076923077,0.096153846,0.211538462,0.096153846,0.076923077,0.153846154,0.096153846,0.115384615,0.038461538,0.096153846,0.057692308
Ceiba,1/6/2018 0:00,0.1,0.173076923,0.115384615,0.173076923,0.25,0.230769231,0.230769231,0.269230769,0.115384615,0.153846154,0.057692308,0.057692308,0.076923077,0.115384615,0.230769231,0.211538462,0.076923077,0.134615385,0.134615385,0.115384615,0.153846154,0.192307692,0.057692308,0.153846154,0.038461538,0.115384615,0.057692308,0.153846154,0.115384615,0.192307692,0.057692308,0.173076923,0.230769231,0.134615385,0.192307692,0.134615385,0.153846154,0.096153846,0.269230769,0.153846154,0.230769231,0.115384615,0.115384615,0.173076923,0.25,0.25,0.153846154,0.25,0.211538462,0.115384615,0.230769231,0.115384615,0.153846154
Ceiba,1/6/2018 0:00,0.2,0.173076923,0.269230769,0.173076923,0.326923077,0.230769231,0.307692308,0.269230769,0.211538462,0.153846154,0.192307692,0.230769231,0.326923077,0.288461538,0.230769231,0.211538462,0.076923077,0.25,0.134615385,0.134615385,0.326923077,0.192307692,0.153846154,0.192307692,0.192307692,0.192307692,0.076923077,0.25,0.153846154,0.269230769,0.211538462,0.269230769,0.384615385,0.192307692,0.288461538,0.192307692,0.211538462,0.173076923,0.269230769,0.192307692,0.346153846,0.326923077,0.192307692,0.326923077,0.288461538,0.307692308,0.269230769,0.326923077,0.269230769,0.269230769,0.346153846,0.115384615,0.307692308
Ceiba,1/6/2018 0:00,0.3,0.346153846,0.269230769,0.403846154,0.326923077,0.442307692,0.307692308,0.442307692,0.211538462,0.346153846,0.192307692,0.230769231,0.326923077,0.288461538,0.596153846,0.403846154,0.211538462,0.25,0.25,0.134615385,0.346153846,0.326923077,0.153846154,0.230769231,0.192307692,0.269230769,0.076923077,0.288461538,0.230769231,0.326923077,0.211538462,0.269230769,0.519230769,0.288461538,0.365384615,0.307692308,0.326923077,0.211538462,0.346153846,0.326923077,0.403846154,0.384615385,0.288461538,0.461538462,0.365384615,0.480769231,0.269230769,0.423076923,0.403846154,0.269230769,0.442307692,0.442307692,0.307692308
Ceiba,1/6/2018 0:00,0.4,0.346153846,0.442307692,0.403846154,0.423076923,0.442307692,0.442307692,0.442307692,0.307692308,0.346153846,0.288461538,0.346153846,0.384615385,0.442307692,0.596153846,0.403846154,0.211538462,0.365384615,0.25,0.365384615,0.384615385,0.326923077,0.269230769,0.288461538,0.307692308,0.269230769,0.115384615,0.346153846,0.326923077,0.403846154,0.230769231,0.346153846,0.576923077,0.365384615,0.423076923,0.557692308,0.403846154,0.346153846,0.384615385,0.384615385,0.519230769,0.480769231,0.365384615,0.538461538,0.461538462,0.634615385,0.384615385,0.519230769,0.480769231,0.423076923,0.442307692,0.442307692,0.5
Ceiba,1/6/2018 0:00,0.5,0.596153846,0.538461538,0.596153846,0.423076923,0.653846154,0.5,0.557692308,0.307692308,0.346153846,0.326923077,0.365384615,0.461538462,0.557692308,0.596153846,0.538461538,0.365384615,0.365384615,0.384615385,0.365384615,0.403846154,0.442307692,0.269230769,0.346153846,0.346153846,0.346153846,0.153846154,0.384615385,0.442307692,0.442307692,0.307692308,0.423076923,0.576923077,0.384615385,0.480769231,0.557692308,0.538461538,0.365384615,0.480769231,0.461538462,0.519230769,0.615384615,0.461538462,0.596153846,0.480769231,0.730769231,0.596153846,0.653846154,0.519230769,0.423076923,0.615384615,0.576923077,0.5
